,admissions,answerurl,belong,central,city_id,city_name,code_enroll,county_id,county_name,department,doublehigh,dual_class,dual_class_name,f211,f985,is_logo,is_recruitment,is_top,level,level_name,name,nature,nature_name,province_id,province_name,rank,rank_type,school_id,school_type,special,type,type_name,view_month,view_month_number,view_total,view_total_number,view_week,view_week_number,view_year
54,2,,教育部,2,3201,南京市,1030700,320102,玄武区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,南京农业大学,36000,公办,32,江苏,,,113,6000,[],5002,农林类,2.4w,24422,585.3w,5852737,2795,2795,0
55,2,https://answer.eol.cn/fillmess/index?id=979&source=zsgk_app,教育部,2,4201,武汉市,1051100,420111,洪山区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,华中师范大学,36000,公办,42,湖北,,,420,6000,[],5004,师范类,11.3w,113451,1125.8w,11258166,1.4w,14127,0
56,2,https://answer.eol.cn/fillmess/index?id=641&source=zsgk_app,河南省,2,4101,郑州市,1045900,410172,郑州高新技术产业开发区,2,0,38000,双一流,1,2,1,1,2,2001,普通本科,郑州大学,36000,公办,41,河南,,,62,6000,[],5000,综合类,14.7w,147027,1655.8w,16558232,1.5w,15375,0
57,2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,5101,成都市,1061300,510117,郫都区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,西南交通大学,36000,公办,51,四川,,,51,6000,[],5001,理工类,12.4w,124233,1619.9w,16198893,1.8w,17640,0
58,2,https://answer.eol.cn/fillmess/index?id=699&source=zsgk_app,工业和信息化部,1,2301,哈尔滨市,1021700,230103,南岗区,2,0,38000,双一流,1,2,1,1,2,2001,普通本科,哈尔滨工程大学,36000,公办,23,黑龙江,,,124,6000,[],5001,理工类,9.2w,91503,1258.6w,12585718,1w,10491,0
59,2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,3203,徐州市,1029000,320312,铜山区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,中国矿业大学,36000,公办,32,江苏,,,110,6000,[],5000,综合类,8.7w,87048,703.5w,7035033,1w,10104,0
60,2,,江苏省,2,3201,南京市,1031200,320115,江宁区,2,0,38000,双一流,2,2,1,1,2,2001,普通本科,南京医科大学,36000,公办,32,江苏,,,168,6000,[],5003,医药类,2.2w,22301,339.4w,3394388,2756,2756,0
61,2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,上海市 中国科学院,2,3101,上海市,1442300,310115,浦东新区,2,0,38000,双一流,2,2,1,1,2,2001,普通本科,上海科技大学,36000,公办,31,上海,,,3151,6000,[],5001,理工类,1w,10406,97.4w,974152,1419,1419,0
62,2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,4201,武汉市,1049700,420111,洪山区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,武汉理工大学,36000,公办,42,湖北,,,128,6000,[],5001,理工类,13.3w,133050,1519.6w,15195765,1.6w,15639,0
63,1,https://answer.eol.cn/fillmess/index?id=640&source=zsgk_app,教育部,2,3702,青岛市,1042300,370212,崂山区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,中国海洋大学,36000,公办,37,山东,,,61,6000,[],5000,综合类,12.2w,122115,1562.1w,15621463,1.4w,14229,0
64,2,https://answer.eol.cn/fillmess/index?id=988&source=zsgk_app,黑龙江省,2,2301,哈尔滨市,1022600,230103,南岗区,2,0,38003,,2,2,1,1,2,2001,普通本科,哈尔滨医科大学,36000,公办,23,黑龙江,,,429,6000,[],5003,医药类,5.6w,55986,636.5w,6365263,7776,7776,0
65,2,https://answer.eol.cn/fillmess/index?id=3249&source=zsgk_app,教育部,2,4201,武汉市,1049100,420111,洪山区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,中国地质大学（武汉）,36000,公办,42,湖北,,,121,6000,[],5001,理工类,8w,80331,786.9w,7868608,8832,8832,0
66,2,https://answer.eol.cn/fillmess/index?id=665&source=zsgk_app,教育部,2,3202,无锡市,1029500,320211,滨湖区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,江南大学,36000,公办,32,江苏,,,86,6000,[],5000,综合类,12w,119637,1425.1w,14250714,1.3w,12702,0
67,2,,教育部,2,3201,南京市,1029400,320115,江宁区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,河海大学,36000,公办,32,江苏,,,116,6000,[],5000,综合类,3.8w,37649,924.7w,9247252,3910,3910,0
68,2,,江苏省,2,3201,南京市,1031900,320113,栖霞区,2,0,38000,双一流,1,2,1,1,2,2001,普通本科,南京师范大学,36000,公办,32,江苏,,,115,6000,[],5004,师范类,3.7w,36949,886.6w,8866181,3906,3906,0
69,2,,教育部,2,1101,北京市,1001300,110108,海淀区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,北京邮电大学,36000,公办,11,北京,,,48,6000,[],5001,理工类,3w,29595,1582.2w,15821908,3727,3727,0
70,2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,广东省教育厅,2,4403,深圳市,1640700,440307,龙岗区,2,0,38003,,2,2,1,1,2,2001,普通本科,香港中文大学（深圳）,36003,内地与港澳台地区合作办学,44,广东,,,3202,6000,[],5000,综合类,1.8w,17901,72.3w,722817,2649,2649,0
71,2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,北京市,2,1101,北京市,1000500,110105,朝阳区,2,0,38000,双一流,1,2,1,1,2,2001,普通本科,北京工业大学,36000,公办,11,北京,,,30,6000,[],5001,理工类,6.1w,61185,893.1w,8931452,5373,5373,0
72,2,,教育部,2,1101,北京市,1001000,110105,朝阳区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,北京化工大学,36000,公办,11,北京,,,556,6000,[],5001,理工类,1.8w,18345,494.4w,4943729,2005,2005,0
73,2,https://answer.eol.cn/fillmess/index?id=3248&source=zsgk_app,教育部,2,3702,青岛市,1042500,370211,黄岛区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,中国石油大学（华东）,36000,公办,37,山东,,,120,6000,[],5001,理工类,11.8w,118128,937.1w,9371429,1.1w,11424,0
74,2,,浙江省,2,3301,杭州市,1033700,0,,2,0,38003,,2,2,1,1,2,2001,普通本科,浙江工业大学,36000,公办,33,浙江,,,242,6000,[],5001,理工类,3.1w,31183,866.9w,8668606,3232,3232,0
75,2,https://answer.eol.cn/fillmess/index?id=800&source=zsgk_app,辽宁省,2,2101,沈阳市,1015900,210113,沈北新区,2,0,38003,,2,2,1,1,2,2001,普通本科,中国医科大学,36000,公办,21,辽宁,,,230,6000,[],5003,医药类,5.1w,51375,606.5w,6064992,8145,8145,0
76,2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,4201,武汉市,1052000,420112,东西湖区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,中南财经政法大学,36000,公办,42,湖北,,,414,6000,[],5006,财经类,9w,90120,1241.4w,12413910,1.2w,11628,0
